Logik;Kategorie;Beschreibung
Falsch;Phänomen;"reine Erscheinung, vielleicht ohne stabile Bestimmung, „bloßer Schein“?"
Wahr;Bestimmung;"das Festgelegte, Definierte, das „Bestimmte Sein“"
Weder wahr noch falsch;Existenz;"reines Dass-Sein, vor/nach aller Prädikation, jenseits von wahr/falsch"
Sowohl wahr als auch falsch (Äquivalenz);Zeit;"Linearität erlaubt an beiden Enden dieselbe Ambivalenz? Zeit als Medium des Widerspruchs?"
wahr UND „weder wahr noch falsch“;Kausalität;"Existenz + Bestimmung -> Kausalität als „Würfelwurf“, der aus Unbestimmtem Bestimmtes macht, aber nie vollständig weißbar"
weder wahr noch falsch UND dann doch falsch;Zahl / Wert;"Stückweise Bestätigung von Existenz, wie bei Zahlenfolgen?"
wahr UND falsch UND dann doch wahr;Winkel / Richtung;"zeitliche Ambivalenz, dann dritte Information lenkt/fokussiert -> Richtung im Raum?"
sowohl wahr als auch falsch UND meta-äquivalent;Raum;"Raum als symmetrische Äquivalenz von Widersprüchen, mehrdimensionaler Ausgleich?"
„weder wahr noch falsch“ UND „weder wahr noch falsch“;Potenzial;"reine Möglichkeit, doppelte Unbestimmtheit -> Potenz"
„weder wahr noch falsch“ UND „sowohl wahr als auch falsch“;Effekt;"Unbestimmtheit trifft auf Widerspruch -> realer Effekt in der Welt?"

